the tournament provides a platform for talented young women cricketers for recognition amp exposure to higher levels,1
on 27 september 2022 based on intelligence from police and human sources the indian army under the aegis of 109 in,0
terror attack averted the jammu and kashmir police and indian army in a joint operation on friday recovered a hu,0
ias good initiatives sir we are ver,1
ias such guardians as indian army kids have to flourish,0
thread on brainwashingbyispr 1 sana b pakarmy pakmoulvis brainwashed pakis to create terr0rists brainwashe,0
huge cache of arms and ammunition recovered in gurez sector army,1
bandipora police and army recovered huge arms amp ammunition including 7 ak 47 rifles 2 pistols 21 ak magazines 1,1
bandipora police and army recovered huge arms amp ammunition including 7 ak 47 rifles 2 pistols 21 ak magazines 11,1
j amp k bandipora police and army recovered huge arms amp ammunition including 7 ak 47 rifles 2 pistols 21 ak magazine,1
bandipora bandipora police and army claims recovery of 7 ak 47 rifles 2 pistols 21 ak magazines 1190 rounds,0
2 jem militants killed in pattan encounter planned to target army recruitment rally police,-1
update two terrorists killed in an encounter in yedipora village of pattan in north kashmir s baramulla district,-1
two militants killed in baramulla gunfight army rally aginveer was their target ssp baramulla ssp bla appeals,-1
army trooper dies after his service rifle goes off accidentally in sopore,0
army man dies in accidental fire in b la,0
army inducts 4x4 armored vehicles to enhance operational capabilities,0
sharif govt to call out army if imrankhan calls for march in islamabad,0
army in kashmir gets kalyani m4 armoured vehicles,0
army in kashmir inducts all terrain vehicles to enhance op capabilities,0
army soldier dead after his rifle went off accidentally in sopore,-1
pakistan army to keep its distance from politics bajwa,0
after usa amp afghanistan russia is the latest victim of pakistan back stabbing strategy various reports and video,1
army man dead after his rifle went off in north kashmir,-1
northerncommand of indian army inducts 4x4 quick reaction force vehicles ia,1
army trooper dies as his rifle goes off in sopore,0
army man dies in accidental fire in north kashmir,0
army trooper dies after service rifle goes off accidentally in sopore news breaking,0
army man killed in accidental fire in bla,-1
army man killed as rifle goes off accidentally,-1
an army trooper was killed after his service rifle went off accidentally on thrusday in rafiabad area of sopore in,-1
pak journos cheem amp azyaz discuss how pak army runs pakistan s parliament jago kashmir to create real democractic,1
indianarmy organized screening of short movie for children of bhaderkoot village the screening was aimed to moti,0
paki journo nadeem malik proves imran khan lied that he became pm without support of pak army jago kashmir to lies,1
